id,email
17,eandrewsg@cornell.edu
52,ldean1f@tamu.edu
58,aberry1l@unc.edu
62,jsullivan1p@wisc.edu
79,lshaw26@psu.edu
89,nwillis2g@cmu.edu
103,abailey2u@nyu.edu
111,lbaker32@ucsd.edu
119,csullivan3a@columbia.edu
165,hfoster4k@wisc.edu
268,sadams7f@uiuc.edu
318,aday8t@msu.edu
325,shughes90@ucla.edu
381,delliottak@virginia.edu
425,amillerbs@uiuc.edu
430,kmorrisbx@unc.edu
436,jharperc3@uiuc.edu
458,ggrahamcp@princeton.edu
467,jcarpentercy@tamu.edu
470,dedwardsd1@unc.edu
480,dfreemandb@harvard.edu
483,wmoralesde@princeton.edu
495,srusselldq@psu.edu
507,lstanleye2@mit.edu
510,hwelche5@columbia.edu
518,smartinezed@princeton.edu
541,wreynoldsf0@uiuc.edu
555,hwilliamsfe@stanford.edu
559,gmorganfi@msu.edu
560,nduncanfj@umn.edu
565,jhowardfo@msu.edu
566,jellisfp@mit.edu
591,rgarrettge@mit.edu
594,jwoodsgh@mit.edu
595,shuntergi@harvard.edu
602,jpricegp@virginia.edu
636,cshawhn@washington.edu
696,hsimpsonjb@illinois.edu
718,lwillisjx@columbia.edu
723,prayk2@ucla.edu
728,cpetersonk7@mit.edu
731,bgibsonka@tamu.edu
770,hjordanld@psu.edu
784,mowenslr@harvard.edu
792,jreidlz@princeton.edu
796,jsullivanm3@berkeley.edu
841,sallennc@berkeley.edu
870,ewoodo5@stanford.edu
872,tsimso7@msu.edu
884,dberryoj@unc.edu
886,pwashingtonol@virginia.edu
888,mtorreson@tamu.edu
900,kcoleoz@msu.edu
903,adeanp2@wisc.edu
913,jwashingtonpc@cornell.edu
915,chowellpe@washington.edu
929,sjordanps@ucla.edu
958,lgriffinql@umn.edu
970,cwilliamsqx@upenn.edu
